2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01
4458	4386	3328	3374	3008	2774	2473	1508	1408	1364	1699	2820
3527	3305	3340	3590	3804	3279	3333	2245	1769	1812	1790	1916
438	444	361	510	577	497	525	434	386	426	466	477
2537	2292	1860	2354	2175	1923	1874	1317	897	1004	1119	1296
5082	4684	4349	5267	5411	4598	4157	2676	2221	2146	2414	2626
4081	4032	3016	3503	3610	3463	2899	1823	1544	1340	1578	1723
6656	7040	5686	5421	6481	6082	6074	4207	3406	2713	2798	4017
5563	5844	4803	5352	5689	6036	6326	4122	3533	3391	3359	4388
