2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01
5584	5271	4636	5219	5492	4459	3625	2286	1992	1778	2206	2302
2062	1999	1820	2176	2459	2393	2462	1682	1482	1536	1475	1472
4555	4379	3429	3540	3136	3467	3106	2055	1687	1674	2008	3238
3717	3493	2807	3257	3094	2858	2849	1936	1387	1528	1682	1844
5304	4971	4568	5462	5764	4866	4289	2788	2376	2182	2400	2675
6081	6596	5028	4780	5603	5496	5937	3991	3101	2513	2448	3631
5038	5314	4451	4923	5202	5109	5390	3592	3129	2940	2909	3757
